rule,d,n,p,mu_star,nD_star,nI_star,PoA,calc_time_sec
sv,3,10,0.3,0.3273684210526315,10,10,3.1667084933624374,1122.934623003006
sv,3,10,0.35,0.3473684210526315,5,10,3.5074159648981387,479.5636749267578
sv,3,10,0.3999999999999999,0.3631578947368421,8,10,3.8511044486975217,447.7698290348053
sv,3,10,0.4499999999999999,0.3736842105263158,9,10,4.1987839388912915,400.6961760520935
sv,3,10,0.4999999999999999,0.3894736842105263,5,10,4.5509075525460725,331.6393828392029
sv,3,10,0.5499999999999999,0.3989473684210526,4,10,4.907795335543274,388.7631890773773
sv,3,10,0.6,0.4410526315789473,2,2,5.3095441074036165,326.36137294769287
sv,3,10,0.65,0.4557894736842105,6,1,5.984186017200654,293.87162804603577
sv,3,10,0.7,0.471578947368421,2,1,6.721842358617909,280.49876499176025
sv,3,10,0.75,0.4821052631578947,1,7,7.525081116981502,265.8918740749359
sv,3,10,0.7999999999999999,0.4926315789473684,8,1,8.397169130337078,254.26803398132324
sv,3,10,0.85,0.4978947368421053,3,9,9.340547893,240.65670919418335
sv,3,10,0.9,0.5073684210526316,10,2,10.358180177809054,218.45163369178772
sv,3,10,0.95,0.5126315789473684,5,6,11.453290700101864,189.0824408531189
sv,3,10,1.0,0.523157895,8,4,12.627765789227094,77.46758675575256
sv,4,3,0.05,0.1884210526315789,1,3,1.6485200895600811,43.69109487533569
sv,4,3,0.1,0.2810526315789473,3,3,2.3764197432897656,35.93258094787598
sv,4,3,0.15,0.3378947368421052,3,3,3.204353809999567,30.081485748291016
sv,4,3,0.2,0.3842105263157894,2,3,4.146115624546209,30.690143823623657
sv,4,3,0.25,0.4147368421052632,3,3,5.2143167010431055,32.622962951660156
sv,4,3,0.3,0.4873684210526315,2,2,6.883241515060847,35.41930008
sv,4,3,0.35,0.5126315789473684,1,2,9.000260773479138,35.34966778755188
sv,4,3,0.3999999999999999,0.5336842105263158,3,1,11.583395617153434,45.69281196594238
sv,4,3,0.4499999999999999,0.5494736842105263,1,2,14.69018519333692,43.706875801086426
sv,4,3,0.4999999999999999,0.5642105263157894,2,1,18.377434124082303,48.53695893287659
sv,4,3,0.5499999999999999,0.58,3,1,22.706987142961673,52.127392053604126
sv,4,3,0.6,0.5905263157894737,3,3,27.739965725690624,54.55497908592224
