rule,d,n,p,mu_star,nD_star,nI_star,PoA,calc_time_sec
ps,3,5,0.44999999999999996,0.3631578947368421,3,5,4.4636974656549055,121.39518904685974
ps,3,5,0.49999999999999994,0.3736842105263158,4,5,4.899088380916863,49.50819492340088
ps,3,5,0.5499999999999999,0.38421052631578945,3,5,5.346516021081745,133.84422516822815
ps,3,5,0.6,0.39473684210526316,4,5,5.805842242608331,160.34537506103516
ps,3,5,0.65,0.40421052631578946,3,5,6.277108885190124,162.07559394836426
ps,3,5,0.7,0.4147368421052632,4,5,6.760275647241523,160.4782359600067
ps,3,5,0.75,0.42,5,5,7.25557223354367,159.54105687141418
ps,3,5,0.7999999999999999,0.43052631578947365,2,5,7.762466168530503,160.16133522987366
ps,3,5,0.85,0.4357894736842105,5,5,8.281416603532382,150.1347198486328
ps,3,5,0.9,0.44105263157894736,2,5,8.81235723830369,154.4361641407013
ps,3,5,0.95,0.45052631578947366,1,5,9.354887352637917,74.89539217948914
ps,3,5,1.0,0.4557894736842105,3,1,9.90930551615219,14.258121013641357
ps,3,10,0.05,0.13578947368421052,4,10,1.5001947032063006,1831.58842420578
ps,3,10,0.1,0.2031578947368421,4,10,1.9423930662468154,1519.7502028942108
ps,3,10,0.15,0.24421052631578946,4,10,2.3664014873153607,1506.0462098121643
ps,3,10,0.2,0.2757894736842105,5,10,2.78348781943388,1631.2558002471924
ps,3,10,0.25,0.30105263157894735,8,10,3.1985049103816685,1630.3436951637268
ps,3,10,0.3,0.32210526315789473,5,10,3.614069229102423,1609.8335449695587
ps,3,10,0.35,0.3431578947368421,6,10,4.031761626800403,1504.5232818126678
ps,3,10,0.39999999999999997,0.35789473684210527,7,10,4.452713423661215,1533.4831249713898
ps,3,10,0.44999999999999996,0.3684210526315789,4,10,4.87767043008107,1416.1208980083466
ps,3,10,0.49999999999999994,0.38421052631578945,5,10,5.307190089784719,774.010095834732
ps,3,10,0.5499999999999999,0.39473684210526316,4,10,5.741555137006443,1404.276871919632
ps,3,10,0.6,0.40421052631578946,9,10,6.181144523233345,1445.9868519306183
ps,3,10,0.65,0.4094736842105263,8,10,6.626048791861516,1456.1724622249603
ps,3,10,0.7,0.42,9,10,7.076932678904107,1209.6593160629272
ps,3,10,0.75,0.42526315789473684,8,10,7.5334782330818335,1021.2652900218964
ps,3,10,0.7999999999999999,0.43052631578947365,1,10,7.996255985737526,1004.6896879673004
ps,3,10,0.85,0.4357894736842105,9,10,8.465248262674297,1031.3559610843658
ps,3,10,0.9,0.4463157894736842,2,10,8.940232264401338,1016.9704759120941
ps,3,10,0.95,0.45052631578947366,10,10,9.421486333858184,818.2505102157593
ps,3,10,1.0,0.4557894736842105,7,5,9.909319516973289,65.94674897193909
ps,4,3,0.05,0.1726315789473684,1,3,1.710298571617071,17.53859519958496
ps,4,3,0.1,0.25473684210526315,2,3,2.5207986571290504,29.256070137023926
ps,4,3,0.15,0.3063157894736842,3,3,3.4468926071265926,32.15909695625305
ps,4,3,0.2,0.34736842105263155,2,3,4.499888271163614,38.676156997680664
ps,4,3,0.25,0.3736842105263158,1,3,5.69069023884567,52.64547324180603
ps,4,3,0.3,0.3989473684210526,2,3,7.029320277568962,58.77592086791992
ps,4,3,0.35,0.42,1,3,8.526622444399573,55.914438009262085
ps,4,3,0.39999999999999997,0.4357894736842105,2,3,10.193109314408614,55.21696996688843
ps,4,3,0.44999999999999996,0.45052631578947366,2,3,12.039930135246847,60.310436964035034
ps,4,3,0.49999999999999994,0.4610526315789474,1,3,14.078712943457873,58.38795804977417
ps,4,3,0.5499999999999999,0.4768421052631579,3,3,16.320744321103778,65.7221348285675
ps,4,3,0.6,0.48736842105263156,3,3,18.77848478779907,69.21900296211243
ps,4,3,0.65,0.4926315789473684,2,3,21.46420830500973,65.50411295890808
ps,4,3,0.7,0.5021052631578947,3,3,24.391219550381344,70.4933648109436
ps,4,3,0.75,0.5126315789473684,3,3,27.573687330580487,65.66353988647461
ps,4,3,0.7999999999999999,0.5178947368421052,2,3,31.02454234540049,64.2663140296936
ps,4,3,0.85,0.523157894736842,2,3,34.76006627231902,63.84586215019226
ps,4,3,0.9,0.5336842105263158,1,3,38.793377310482,64.07122778892517
ps,4,3,0.95,0.5389473684210526,3,3,43.140736116724895,23.889151096343994
ps,4,3,1.0,0.5442105263157895,3,2,47.81881198936096,5.97685694694519
ps,4,5,0.05,0.18736842105263157,2,5,1.90807871708193,239.99884128570557
ps,4,5,0.1,0.27052631578947367,2,5,2.8925392448086793,331.2786211967468
ps,4,5,0.15,0.32210526315789473,4,5,3.994187599206802,313.2997610569
ps,4,5,0.2,0.35789473684210527,4,5,5.226798627131004,329.6027739048004
ps,4,5,0.25,0.38421052631578945,3,5,6.598710739027306,322.3334379196167
ps,4,5,0.3,0.40421052631578946,2,5,8.116798288306226,343.8212831020355
ps,4,5,0.35,0.42526315789473684,2,5,9.78625983578625,353.0774350166321
ps,4,5,0.39999999999999997,0.44105263157894736,3,5,11.613527325479078,350.1467010974884
ps,4,5,0.44999999999999996,0.4557894736842105,4,5,13.603822164577236,354.2125952243805
ps,4,5,0.49999999999999994,0.46631578947368424,5,5,15.762704098353508,352.422523021698
ps,4,5,0.5499999999999999,0.4768421052631579,2,5,18.0956469028296,356.19933795928955
ps,4,5,0.6,0.48736842105263156,3,5,20.607711378041998,373.7873740196228
ps,4,5,0.65,0.4978947368421053,3,5,23.304775651535177,377.701110124588
ps,4,5,0.7,0.5073684210526316,2,5,26.19260971143087,390.69502806663513
ps,4,5,0.75,0.5126315789473684,4,5,29.27524802082266,403.46248412132263
ps,4,5,0.7999999999999999,0.5178947368421052,3,5,32.56026368275676,374.8012671470642
ps,4,5,0.85,0.5284210526315789,2,5,36.05149009828474,336.48834204673767
ps,4,5,0.9,0.5336842105263158,1,5,39.754126269661406,390.8162088394165
ps,4,5,0.95,0.5389473684210526,5,5,43.674823857205865,159.00206875801086
ps,4,5,1.0,0.5442105263157895,5,2,47.81883366919161,19.070958852767944
ps,4,10,0.05,0.21368421052631578,1,10,2.2474249726896307,3337.9488110542297
ps,4,10,0.1,0.29157894736842105,1,10,3.520668487149636,2941.3680918216705
ps,4,10,0.15,0.33789473684210525,5,10,4.904903154808108,2703.1536190509796
ps,4,10,0.2,0.3736842105263158,6,10,6.411326730184899,2671.9193840026855
ps,4,10,0.25,0.3989473684210526,3,10,8.042548924447479,2638.5955607891083
ps,4,10,0.3,0.42,9,10,9.799508634064022,2564.8892862796783
ps,4,10,0.35,0.4357894736842105,3,10,11.682049440808921,2481.847318172455
ps,4,10,0.39999999999999997,0.45052631578947366,7,10,13.690829630447297,2495.1751098632812
ps,4,10,0.44999999999999996,0.4610526315789474,4,10,15.82602822505503,2510.7359590530396
ps,4,10,0.49999999999999994,0.47157894736842104,3,10,18.087958839064566,2566.280725002289
ps,4,10,0.5499999999999999,0.4821052631578947,8,10,20.47664025791072,2743.8738589286804
ps,4,10,0.6,0.4926315789473684,5,10,22.99286625314872,2897.5921680927277
ps,4,10,0.65,0.5021052631578947,9,10,25.637825276944533,3142.9827330112457
ps,4,10,0.7,0.5073684210526316,8,10,28.41181542488547,3144.061537027359
ps,4,10,0.75,0.5178947368421052,5,10,31.31645470188672,3263.8067829608917
ps,4,10,0.7999999999999999,0.523157894736842,3,10,34.35060241579297,3060.1651289463043
ps,4,10,0.85,0.5284210526315789,7,10,37.517011089854066,3596.764288187027
ps,4,10,0.9,0.5336842105263158,9,10,40.8164828787988,3490.147309064865
ps,4,10,0.95,0.5389473684210526,6,10,44.25004765492016,2731.4075362682343
ps,4,10,1.0,0.5442105263157895,8,8,47.819854852843655,137.74804520606995
ps,5,3,0.05,0.26,1,3,2.634982367233913,70.58279395103455
ps,5,3,0.1,0.34736842105263155,3,3,4.7693656684908765,90.69955611228943
ps,5,3,0.15,0.39473684210526316,2,3,7.507512229792424,150.86628699302673
ps,5,3,0.2,0.43052631578947365,3,3,10.946376460307336,169.89853811264038
ps,5,3,0.25,0.4557894736842105,1,3,15.188762171378595,177.61210894584656
ps,5,3,0.3,0.4768421052631579,2,3,20.34493625144462,146.41174006462097
ps,5,3,0.35,0.49684210526315786,1,3,26.535164055806003,182.85681986808777
ps,5,3,0.39999999999999997,0.523157894736842,3,3,34.47375576180933,137.14029693603516
ps,5,3,0.44999999999999996,0.5336842105263158,2,3,43.89945019376762,121.21416401863098
ps,5,3,0.49999999999999994,0.5442105263157895,2,3,54.88684065542069,87.1730420589447
ps,5,3,0.5499999999999999,0.5536842105263158,1,3,67.5452667118087,216.9638557434082
ps,5,3,0.6,0.5642105263157894,2,3,81.99226271119932,360.15068006515503
ps,5,3,0.65,0.5694736842105262,3,3,98.34196967309664,318.52885603904724
ps,5,3,0.7,0.5747368421052631,3,3,116.72364232125808,277.9731593132019
ps,5,3,0.75,0.58,3,3,137.26167799393582,220.446683883667
ps,5,3,0.7999999999999999,0.5852631578947368,3,3,160.0862585914079,142.01429986953735
ps,5,3,0.85,0.5905263157894737,2,3,185.3317151873273,146.2419469356537
ps,5,3,0.9,0.5957894736842105,2,3,213.137225159541,144.20204401016235
ps,5,3,0.95,0.6010526315789474,1,3,243.64370932353606,100.84395003318787
ps,5,3,1.0,0.6052631578947367,1,1,276.99588399550817,9.403094053268433
ps,5,5,0.05,0.27052631578947367,4,5,3.051199293194016,500.61930108070374
ps,5,5,0.1,0.3526315789473684,1,5,5.653101067477351,616.8019580841064
ps,5,5,0.15,0.40421052631578946,2,5,8.965704261496334,845.5938878059387
ps,5,5,0.2,0.4357894736842105,4,5,13.083752762219214,986.1250839233398
ps,5,5,0.25,0.4610526315789474,4,5,18.09901515708333,1062.477802991867
ps,5,5,0.3,0.4821052631578947,2,5,24.10612984169577,1239.8797731399536
ps,5,5,0.35,0.4978947368421053,3,5,31.203362963138137,1664.3376948833466
ps,5,5,0.39999999999999997,0.5126315789473684,4,5,39.49511292512334,1391.0690727233887
ps,5,5,0.44999999999999996,0.523157894736842,3,5,49.089597407224055,2047.243950843811
ps,5,5,0.49999999999999994,0.5336842105263158,1,5,60.10077921172291,1499.3258428573608
ps,5,5,0.5499999999999999,0.5442105263157895,3,5,72.64636954856995,1672.4516489505768
ps,5,5,0.6,0.5536842105263158,4,5,86.8516595453949,1932.655198097229
ps,5,5,0.65,0.5642105263157894,4,5,102.84917461443962,2596.3975579738617
ps,5,5,0.7,0.5694736842105262,5,5,120.76568036609066,2559.048374891281
ps,5,5,0.75,0.5747368421052631,4,5,140.75228420070513,2295.491971731186
ps,5,5,0.7999999999999999,0.58,4,5,162.95316849728985,2160.68089222908
ps,5,5,0.85,0.5905263157894737,2,5,187.51259763788607,2011.1115272045135
ps,5,5,0.9,0.5957894736842105,1,5,214.59582343772277,1882.9709820747375
ps,5,5,0.95,0.6010526315789474,2,5,244.36865898885065,2073.3884489536285
ps,5,5,1.0,0.6052631578947367,5,2,276.9958988280937,32.07632803916931
ps,5,10,0.05,0.29157894736842105,8,10,3.8264536047641,6605.115441799164
ps,5,10,0.1,0.3684210526315789,6,10,7.356632602909563,5500.143530845642
ps,5,10,0.15,0.4147368421052632,3,10,11.787518440260424,7388.273303031921
ps,5,10,0.2,0.4463157894736842,1,10,17.180362191875368,8943.850630998611
ps,5,10,0.25,0.47157894736842104,9,10,23.588734682165306,9402.968815088272
ps,5,10,0.3,0.48736842105263156,9,10,31.06279977075195,10407.816987991333
ps,5,10,0.35,0.5021052631578947,2,10,39.65626318203786,12701.357058048248
ps,5,10,0.39999999999999997,0.5178947368421052,8,10,49.41834809711735,11597.593480825424
ps,5,10,0.44999999999999996,0.5284210526315789,3,10,60.40332226017079,13289.759546995163
ps,5,10,0.49999999999999994,0.5389473684210526,5,10,72.6615343786498,12664.205155849457
ps,5,10,0.5499999999999999,0.5494736842105263,8,10,86.2462705031558,15945.632762908936
ps,5,10,0.6,0.5589473684210525,8,10,101.21124482577633,16525.228860139847
ps,5,10,0.65,0.5642105263157894,5,10,117.60530279421097,17298.69524717331
ps,5,10,0.7,0.5694736842105262,9,10,135.49021908829172,18582.4576151371
ps,5,10,0.75,0.58,3,10,154.90866428022866,17636.30441236496
ps,5,10,0.7999999999999999,0.5852631578947368,2,10,175.91988554547302,15899.052482128143
ps,5,10,0.85,0.5905263157894737,2,10,198.5793009614816,15791.467710971832
ps,5,10,0.9,0.5957894736842105,9,10,222.94156527578636,13345.33023405075
ps,5,10,0.95,0.6010526315789474,2,10,249.0636761897646,14641.503056764603
ps,5,10,1.0,0.6052631578947367,8,2,276.9960715521325,177.27372002601624
